word	weight
jajak	0.6
jala	0.6
jalan bebas hambat	0.4
jalan bebas hambatan	0.4
jalan buka	0.6
jalan keluar	0.6
jalan tengah	0.6
jalan terbuka	0.6
jalanin	0.4
jali	0.4
jamhur	0.6
jamiah	0.2
jamik	0.6
jamil	0.4
jangka	0.6
jantan	1.0
jarak	0.6
jaring	0.6
jasa	0.8
jaswadi	0.6
jatah	0.6
jawara	0.6
jaya	0.8
jebakan	0.6
jelak	0.6
jelang	0.6
jeli	0.8
jempol	0.8
jempolan	0.8
jenak	0.2
jenang	0.8
jentelmen	0.6
jernih	0.8
jernih (suasana)	0.2
jernih suasana	0.2
jiawang	1.0
jibilah	0.8
jidur	0.6
jigrah	0.6
jihad	0.6
jilbab	0.6
jodoh	0.6
join	0.2
joli	0.2
jreng	0.6
juak-juak	1.0
jual	0.2
jualan	0.2
juang	0.6
judul	0.4
jujur	0.8
julat	0.6
jumat	0.4
jumpa muka	0.6
juta	0.4
kaci	0.8
kadang	0.6
kadang-kadang	0.6
kadar	1.0
kado	0.4
kaget	0.6
kagum	0.6
kaisar	0.8
kait	0.2
kaji	0.8
kajian	0.8
kakek	0.6
kaki tangan	0.8
kalem	0.8
kalis	0.8
kalong	0.6
kam	0.4
kamil	0.6
kampanye	0.6
kandis	0.8
kangen	0.6
kanjang	0.8
kanjeng sultan	0.8
kantong	0.2
kapabilitas	0.6
kapasitas	0.6
karena allah	0.4
karib	0.8
karimah	0.8
karsa	0.6
karunia	0.8
karya	0.6
karyawan	0.6
kasad	0.2
kasatmata	0.8
kasih	0.4
kasih sayang	1.0
kasihan	0.8
kasual	0.6
kawakan	1.0
keahlian	0.6
keaktifan	0.4
keampuhan	0.8
kebahagiaan	0.8
kebaikan	0.8
kebajikan	0.8
keberuntungan	0.8
kebesaran	0.8
kebijakan	0.6
kebisaan	0.8
kebolehan	0.4
kebutuhan	0.8
kecakapan	0.4
kecantikan	0.4
kece	1.0
kecepatan	0.8
kecerdikan	0.8
kecong	0.6
kedai susu	0.8
kedalaman	0.6
kediaman	0.4
kedodoran	0.6
kedot	0.4
kedoyanan	0.6
keenakan	0.8
kegagahan	0.8
kegembiraan	0.8
kegiatan	0.6
kegilaan	0.6
kegirangan	0.6
kegirangan keceriaan	0.8
kegunaan	0.8
kehadiran	0.6
kehangatan	0.8
kehormatan	1.0
keikutsertaan	0.6
kejadian	0.6
kejayaan	0.8
kejelasan	0.2
kejuruan	0.6
kejut	0.6
kejutan	0.6
kekaguman	0.8
kekal	0.6
kekayaan	0.4
kekekalan	0.6
kekeluargaan	0.8
kekhususan	0.6
kekuatan	0.6
kekuatan batin	0.6
kelahiran	0.6
kelajuan	0.8
kelapangan	0.6
kelar	0.6
kelawasan	0.2
kelelawar	0.6
kelepasan	0.6
kelezatan	0.8
keliatan	0.4
kelih	0.8
kelilipan	0.6
kelimpahan	0.8
kelonggaran	0.6
keluang	0.6
keluangan	0.6
keluaran	0.6
keluarga	0.8
keluasan	0.6
kelucuan	0.6
kemahiran	0.8
kemampuan	0.8
kemangkakan	0.6
kemantapan	0.8
kemas	0.6
kemaslahatan	0.8
kemasyhuran	0.8
kembang	0.6
kemegahan	0.8
kemiripan	0.4
kempuh	1.0
kemudahan	0.6
kemudi	0.6
kemufakatan	0.6
kemunculan	0.6
kemurahan	0.8
ken	0.6
kenal	0.6
kenamaan	1.0
kenang	0.6
kenang-kenangan	0.6
kenangan	0.6
kencang	0.6
kenduri	0.8
kenek	0.2
kenikmatan	0.8
kenyam	0.2
kenyamanan	0.8
kenyang	0.6
kepandaian	0.8
kepatuhan	0.6
kepedulian	0.8
kepelesiran	0.6
kepentingan	1.0
kepercayaan	0.6
keperluan	1.0
kepesatan	0.8
kepiawaian	0.8
kepintaran	0.8
kepoin	0.4
kepuasan	0.6
keputusan	0.8
kerabat	0.6
keras tulang	0.4
kerasan	0.4
keren	0.8
keren banget	1.0
keriaan	0.6
keriangan	0.8
kerinduan	0.4
keringanan	0.4
kerja	0.4
kerja sama	0.8
kerjaan	0.4
kerjasama	0.6
kerukunan	0.6
kes	0.6
kesabaran	1.0
kesah	0.4
kesatria	0.4
kesebatan	0.8
kesediaan	0.2
keseimbangan	0.8
kesemarakan	0.8
kesertaan	0.4
keseruan	0.6
kesetiaan	0.6
kesima	0.8
kesimpulan	0.6
kesohor	1.0
kestabilan	0.8
kesudian	0.4
kesufian	0.8
kesukacitaan	0.6
kesuma	0.6
ketaatan	0.6
ketajaman	0.6
ketangkasan	0.8
ketapak	0.6
ketawa	0.8
keteguhan batin	0.6
keteguhan hati	0.6
ketemu	0.2
ketenteraman	0.8
keterbukaan	1.0
keterikatan	0.8
ketertarikan	0.8
ketertiban	0.6
ketetapan hati	0.6
ketiadaan	0.2
ketibaan	0.6
keuntungan	0.8
keurus	0.8
keurusan	0.8
khalas	0.6
khalis	0.8
khas	0.8
khasiat	0.8
khayal	0.4
khayalan	0.8
khuluk	0.6
khusyuk	0.6
kias	0.8
kiat	0.6
kicau	0.6
kicu	0.6
kikir	0.8
kilat	0.6
kimah	1.0
kincang	0.6
kincung	0.6
kini	0.6
kiprah	0.6
kipu	0.8
kira	0.4
kirim	0.4
kisas	0.6
kismat	0.8
kits	1.0
klasik	0.6
klien	0.8
kodrat	0.8
kohesi	0.8
koleksi	0.2
komedi	0.6
komisi	0.6
kompetensi	0.6
komplemen	1.0
komplet	0.6
komplot	0.8
konco	0.8
kondang	1.0
konferensi	0.4
konfirmasi	0.6
konfirmasikan	0.6
konfirmasinya	0.6
konformitas	0.8
konklusi	0.6
konkret	0.6
konsensus	0.6
konseptual	0.6
konsolidasi	0.6
konspirasi	0.8
konstelasi	0.4
konstruktif	0.6
konsultasi	0.6
kontan	0.6
kontemporer	0.6
kontributor	0.6
kooperasi	0.2
koordinasi	0.2
koordinasikan	0.2
koordinator	0.4
korek	0.8
kosen	0.8
kreasi	0.6
kreatif	0.8
kreativitas	0.8
kredibel	0.6
krim	0.2
kroni	0.8
kuala	0.8
kualifikasi	0.4
kualitas	0.8
kuasa	0.6
kuat (dugaan)	0.4
kuat batin	0.6
kuat duga	0.4
kucil	0.2
kucup	0.4
kucur	0.8
kudus	0.8
kujarat	1.0
kunci	0.6
kundangan	1.0
kunjung	0.6
kunjungi	0.6
kuntit	0.2
kunyah	0.6
kupon	0.6
kusa	0.6
kusuma	0.8
kuy	0.2
laba	0.8
labiovelar	0.8
labuh	0.6
labuhan	0.6
laden	0.6
lagak	0.4
lagu	0.4
lahir	0.6
lajnah	0.6
lakeri	0.6
lalu	0.6
lam	0.6
lambuk	0.6
lambung	0.4
lampu	0.8
lancar	0.8
lancar banget	0.8
lancarkan	0.6
lancung	0.6
langgam	0.4
langgan	0.4
langganan	0.8
langgeng	0.8
langkah	0.8
langkah baik	0.8
langkah kanan	0.6
langsung	0.6
lanjutkan	0.2
lantik	0.6
lantip	0.6
lapang	0.6
lapangan	0.6
lapisan	0.6
lapor	0.4
laporkan	0.4
latih	0.6
latih diri	0.8
laun	0.2
layan	0.4
layanan	0.6
lebai	0.8
lebar	0.6
lebih-lebih	0.8
lebuk	0.6
lebun	0.6
legawa	0.8
legit	0.8
lektur	0.8
lelah	0.8
lemas	1.0
lembek	1.0
lembik	1.0
lembuk	0.6
lenggang	0.4
lengkap	0.4
lengkap banget	0.8
lentera	0.8
lestari	0.8
letih	0.8
lezat	1.0
liat	0.4
libur	0.6
liburan	0.6
licin	0.8
lihat	0.6
lila	0.8
limbukan	0.6
limpah	0.2
lincah	0.8
lindu	0.8
lindung	0.8
lingkungan	0.6
lini	0.8
linu	0.8
linuhung	0.6
lipur	0.4
liputan	0.6
live	0.6
longgar	0.6
longo	0.6
losmen	0.4
love	1.0
lovers	0.8
luar biasa	1.0
luas	0.6
luck	0.8
lucu	0.6
lugas	0.8
lugu	0.8
luk	0.6
lukis	0.4
lukisan	0.4
luluh	1.0
lulus	1.0
lumayan	0.2
lunak	1.0
lunas kapal	0.4
lunch	0.6
lupain	0.2
lupakan	0.2
luruh	0.4
lurus	0.8
lurus hati	0.6
mabrur	0.8
maen	0.6
mafhum	0.6
maha	0.8
mahabah	0.8
mahal	0.2
mahdi	0.6
mahfum	0.8
mahir	0.8
maimun	0.8
main	0.4
majenun	0.6
majubersama	0.6
makan	0.2
makanan	0.6
makasih	0.8
makbul	0.6
makhluk	0.6
makin	0.4
maklum	0.6
makmur	0.8
makna	1.0
makruf	0.8
maksimal	0.6
maksud	0.6
malayari	0.6
malim	0.6
mama	0.8
mamak	0.4
mancing	0.4
mandraguna	0.8
manfaat	1.0
manfaatnya	0.6
manggala	0.6
manila	1.0
manis	1.0
manja	1.0
manjur	0.8
mantap	1.0
mantap banget	1.0
mantapppp	1.0
mantul	0.8
manusia	0.6
mapan	0.6
margrit	0.6
mari	0.8
marilah	0.2
martabat	1.0
masa kini	0.6
masak	0.4
masakan	0.6
masjid	0.6
maskapai	0.6
maslahat	0.6
masygul	0.6
mata cahari	0.4
mata gawai	0.8
mata pencaharian	0.4
matahari	0.4
mau	1.0
maujud	0.4
maut	0.8
medali	0.8
medium	0.4
mekar	0.6
melafalkan	0.4
melahirkan	0.6
melakoni	0.2
melakonkan	0.6
melalui	0.6
melambungkan	0.4
melampas	0.8
melancarkan	0.6
melantik	0.6
melantunkan	0.6
melanyak	0.8
melarikan	0.6
melarutkan	0.2
melatih diri	0.8
meledos	0.6
melek	0.4
melendeh	0.6
melengkapi	0.6
meletakkan	0.8
melewati	0.6
melicinkan	0.8
melihat	0.6
melilit	0.6
melintangi	0.6
melintas (rimba)	0.6
melipur	0.8
melisankan	0.6
meloloskan	0.6
melongo	0.6
melontarkan	0.6
meluas	0.4
meluluskan	0.6
meluncurkan	0.6
memafhumi	0.6
memahami	0.6
memahirkan	0.8
memaklumi	0.6
memalu	0.6
memandu	0.6
memang	0.8
memanjang	0.6
memanjatkan doa	0.8
memarkir	0.2
memartil	0.6
mematuhi	0.8
membaca	0.8
membahagiakan	0.8
membahas	0.2
membalas	0.8
membantu	0.8
membatu	0.4
membayangkan	0.4
membenang	0.8
membenarkan	0.6
memberi	0.4
membiasakan	0.4
membimbingmu	0.6
membimbit	0.6
membingkas	0.6
membingkis	0.8
membuat	0.2
membubuhkan	0.8
membunyikan	0.4
memegang kitab	0.8
memeluk	0.8
memendam	0.8
mementingkan	0.8
memerikan	0.6
memesonakan	1.0
memfasilitasi	0.4
meminati	0.6
meminda	0.8
meminta	0.2
meminta (kpd tuhan)	0.6
memintasi	0.6
memolakan	0.8
mempercantik	0.6
memperelok	0.6
memperindah	0.6
memperkirakan	0.4
memperkuat	0.6
mempermudah	0.8
